,NINO3.4,PDO,NPI,NPGO,AO
1988.5,-1.3,0.517844185,-0.256941772,1.457745696,0.080170536
1988.6,-1.11,0.151725048,0.312078612,1.329843861,0.533388943
1988.7,-1.19,-0.092354377,0.090526335,1.258466799,0.614486306
1988.8,-1.48,-0.16162016,0.094839997,1.213434707,0.48009639
1988.8,-1.8,-0.181410383,-0.204459768,1.04519551,0.776681032
1988.9,-1.85,-0.461771885,0.976468178,0.992916913,2.201214143
1989.0,-1.69,-0.791608945,2.349853895,0.818673772,3.736966495
1989.1,-1.43,-0.923543769,2.566814553,0.87087223,3.667917883
1989.2,-1.08,-0.715746421,1.676085097,0.712267518,2.112702164
1989.3,-0.83,-0.224289201,0.815610078,0.688803557,1.00514389
1989.3,-0.58,0.168216901,0.713078184,0.566666082,0.455998888
1989.4,-0.4,0.54752952,0.842208324,0.710703161,0.973168358
1989.5,-0.31,0.422191437,0.399640083,0.735736363,0.816534594
